,Restaurant,Type,Yelp,Notes
76,Mission Chinese (!!!!!),Fusion,https://www.yelp.com/biz/mission-chinese-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
77,Perilla,Fusion,https://www.yelp.com/biz/talde-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
78,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
79,DUMPLINGS (including soup),,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
80,Prosperity Dumpling,Dumplings,https://www.yelp.com/biz/top-prosperity-dumpling-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
81,Tasty Dumpling,Dumplings,https://www.yelp.com/biz/tasty-dumpling-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
82,Jin Mei Dumplings,Dumplings,https://www.yelp.com/biz/jin-mei-dumpling-house-%E6%B4%A5%E7%BE%8E%E9%94%85%E8%B4%B4-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
83,Fried Dumpling,Dumplings,https://www.yelp.com/biz/fried-dumpling-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
84,Vanessa’s,Dumplings,https://www.yelp.com/biz/vanessas-dumpling-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
85,Joe’s Shanghai (!!!!!!!),Dumplings,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
86,Shanghai Cafe Deluxe,Dumplings,https://www.yelp.com/biz/shanghai-cafe-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
87,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
88,NOODLES,,https://www.yelp.com/biz/88-lan-zhou-handmade-noodles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
89,Tasty Hand-Pulled Noodles,Noodles,https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
90,Lam Zhou Handmade Noodle,Noodles,https://www.yelp.com/biz/88-lan-zhou-handmade-noodles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
91,Big Wong (roast duck noodle soup),Noodles,https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
92,Pho Grand,Noodles,https://www.yelp.com/biz/pho-grand-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
93,Pho Bang,Noodles,https://www.yelp.com/biz/pho-bang-elmhurst?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
94,New Bo Ky Restaurant,Noodles,https://www.yelp.com/biz/bo-ky-restaurant-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
95,Great N.Y. Noodletown,Noodles,https://www.yelp.com/biz/great-ny-noodle-town-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
96,Ippudo ,Noodles,https://www.yelp.com/biz/ippudo-new-york-10?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
97,Totto,Noodles,https://www.yelp.com/biz/totto-ramen-new-york-12?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
98,Mu Ramen,Noodles,https://www.yelp.com/biz/mu-ramen-long-island-city-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
99,Ivan Ramen,Noodles,https://www.yelp.com/biz/ivan-ramen-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
100,Momofuku Noodle Bar,Noodles,https://www.yelp.com/biz/momofuku-noodle-bar-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
101,Ramen Lab,Noodles,https://www.yelp.com/biz/ramen-lab-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
102,Noodle Village,Noodles,https://www.yelp.com/biz/noodle-village-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
103,Spicy Village (da pan ji),Noodles,https://www.yelp.com/biz/xian-famous-foods-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
104,Zen 6,Noodles,https://www.yelp.com/biz/zen-6-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
105,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
